Date,Value
2007-06-01,1514.19
2007-05-01,1511.14
2007-04-01,1463.64
2007-03-01,1406.95
2007-02-01,1444.8
2007-01-01,1424.16
2006-12-01,1416.42
2006-11-01,1388.64
2006-10-01,1363.38
2006-09-01,1317.74
2006-08-01,1287.15
2006-07-01,1260.24
2006-06-01,1253.17
2006-05-01,1290.01
2006-04-01,1302.17
2006-03-01,1293.74
2006-02-01,1276.65
2006-01-01,1278.73
2005-12-01,1262.07
2005-11-01,1237.37
2005-10-01,1191.96
2005-09-01,1225.92
2005-08-01,1224.27
2005-07-01,1222.24
2005-06-01,1202.25
2005-05-01,1178.28
2005-04-01,1164.43
2005-03-01,1194.9
2005-02-01,1199.63
2005-01-01,1181.41
2004-12-01,1199.21
2004-11-01,1168.94
2004-10-01,1117.21
2004-09-01,1117.66
2004-08-01,1088.94
2004-07-01,1105.85
2004-06-01,1132.76
2004-05-01,1102.78
2004-04-01,1133.36
2004-03-01,1123.98
2004-02-01,1143.36
2004-01-01,1132.52
2003-12-01,1080.64
2003-11-01,1049.9
2003-10-01,1038.73
2003-09-01,1019.44
2003-08-01,989.53
2003-07-01,992.54
2003-06-01,988.0
2003-05-01,935.96
2003-04-01,890.03
2003-03-01,846.63
2003-02-01,837.03
2003-01-01,895.84
2002-12-01,899.18
2002-11-01,909.93
2002-10-01,854.63
2002-09-01,867.81
2002-08-01,912.55
2002-07-01,903.59
2002-06-01,1014.02
2002-05-01,1079.25
2002-04-01,1111.93
2002-03-01,1153.79
2002-02-01,1100.67
2002-01-01,1140.21
2001-12-01,1144.93
2001-11-01,1129.68
2001-10-01,1076.59
2001-09-01,1044.64
2001-08-01,1178.5
2001-07-01,1204.45
2001-06-01,1238.71
2001-05-01,1270.37
2001-04-01,1189.84
2001-03-01,1185.85
2001-02-01,1305.75
2001-01-01,1335.63
2000-12-01,1330.93
2000-11-01,1378.04
2000-10-01,1390.14
2000-09-01,1468.05
2000-08-01,1485.46
2000-07-01,1473.0
2000-06-01,1461.96
2000-05-01,1418.48
2000-04-01,1461.36
2000-03-01,1442.21
2000-02-01,1388.87
2000-01-01,1425.59
1999-12-01,1428.68
1999-11-01,1391.0
1999-10-01,1300.01
1999-09-01,1318.17
1999-08-01,1327.49
1999-07-01,1380.99
1999-06-01,1322.55
1999-05-01,1332.07
1999-04-01,1334.76
1999-03-01,1281.66
1999-02-01,1246.58
1999-01-01,1248.77
1998-12-01,1190.05
1998-11-01,1144.43
1998-10-01,1032.47
1998-09-01,1020.64
1998-08-01,1074.62
1998-07-01,1156.58
1998-06-01,1108.39
1998-05-01,1108.42
1998-04-01,1112.2
1998-03-01,1076.83
1998-02-01,1023.74
1998-01-01,963.36
1997-12-01,962.37
1997-11-01,938.92
1997-10-01,951.16
1997-09-01,937.02
1997-08-01,927.24
1997-07-01,925.29
1997-06-01,876.29
1997-05-01,833.09
1997-04-01,763.93
1997-03-01,792.16
1997-02-01,798.39
1997-01-01,766.22
1996-12-01,743.25
1996-11-01,735.67
1996-10-01,701.46
1996-09-01,674.88
1996-08-01,662.68
1996-07-01,644.07
1996-06-01,668.5
1996-05-01,661.23
1996-04-01,647.17
1996-03-01,647.07
1996-02-01,649.54
1996-01-01,614.42
1995-12-01,614.57
1995-11-01,595.53
1995-10-01,582.92
1995-09-01,578.77
1995-08-01,559.11
1995-07-01,557.37
1995-06-01,539.35
1995-05-01,523.81
1995-04-01,507.91
1995-03-01,493.15
1995-02-01,481.92
1995-01-01,465.25
1994-12-01,455.19
1994-11-01,461.01
1994-10-01,463.81
1994-09-01,466.96
1994-08-01,464.24
1994-07-01,451.4
1994-06-01,454.83
1994-05-01,450.9
1994-04-01,447.23
1994-03-01,463.81
1994-02-01,471.58
1994-01-01,472.99
1993-12-01,465.95
1993-11-01,462.89
1993-10-01,463.9
1993-09-01,459.24
1993-08-01,454.13
1993-07-01,447.29
1993-06-01,448.06
1993-05-01,445.25
1993-04-01,443.08
1993-03-01,450.16
1993-02-01,441.7
1993-01-01,435.23
1992-12-01,435.64
1992-11-01,422.84
1992-10-01,412.5
1992-09-01,418.48
1992-08-01,417.93
1992-07-01,415.05
1992-06-01,408.27
1992-05-01,414.81
1992-04-01,407.41
1992-03-01,407.36
1992-02-01,412.56
1992-01-01,416.08
1991-12-01,388.51
1991-11-01,385.92
1991-10-01,386.88
1991-09-01,387.2
1991-08-01,389.4
1991-07-01,380.23
1991-06-01,378.29
1991-05-01,377.99
1991-04-01,379.68
1991-03-01,372.28
1991-02-01,362.26
1991-01-01,325.49
1990-12-01,328.75
1990-11-01,315.29
1990-10-01,307.12
1990-09-01,315.41
1990-08-01,330.75
1990-07-01,360.03
1990-06-01,360.39
1990-05-01,350.25
1990-04-01,338.18
1990-03-01,338.46
1990-02-01,330.45
1990-01-01,339.97
1989-12-01,348.6
1989-11-01,340.2
1989-10-01,347.4
1989-09-01,347.3
1989-08-01,346.6
1989-07-01,331.9
1989-06-01,323.7
1989-05-01,313.9
1989-04-01,302.3
1989-03-01,292.7
1989-02-01,294.0
1989-01-01,285.4
1988-12-01,276.5
1988-11-01,271.0
1988-10-01,277.4
1988-09-01,268.0
1988-08-01,263.7
1988-07-01,269.1
1988-06-01,270.7
1988-05-01,256.1
1988-04-01,262.6
1988-03-01,265.7
1988-02-01,258.1
1988-01-01,250.5
1987-12-01,241.0
1987-11-01,245.0
1987-10-01,280.2
1987-09-01,318.7
1987-08-01,329.4
1987-07-01,310.1
1987-06-01,301.4
1987-05-01,289.1
1987-04-01,289.3
1987-03-01,292.5
1987-02-01,280.9
1987-01-01,264.5
1986-12-01,248.6
1986-11-01,245.1
1986-10-01,237.4
1986-09-01,238.3
1986-08-01,245.0
1986-07-01,240.2
1986-06-01,245.3
1986-05-01,238.5
1986-04-01,238.0
1986-03-01,232.3
1986-02-01,219.4
1986-01-01,208.2
1985-12-01,207.3
1985-11-01,197.5
1985-10-01,186.2
1985-09-01,184.1
1985-08-01,188.3
1985-07-01,192.5
1985-06-01,188.9
1985-05-01,184.9
1985-04-01,180.6
1985-03-01,179.4
1985-02-01,180.9
1985-01-01,171.6
1984-12-01,164.5
1984-11-01,166.3
1984-10-01,164.8
1984-09-01,166.1
1984-08-01,164.4
1984-07-01,151.1
1984-06-01,153.1
1984-05-01,156.6
1984-04-01,157.6
1984-03-01,157.4
1984-02-01,157.3
